,url,name,size,prize
0,['https://www.stadiumgoods.com/air-jordan-1-low-travis-scott-cq4277-001'],['\nAir Jordan 1 Low “Travis Scott” '],"['Choose your size (U.S.)', '7', '7.5', '8', '8.5*', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '4', '4.5', '5', '5.5', '6', '6.5', '15', '16', '17', '18']","['', '\n$1,859.00\n', '\n$1,395.00\n', '\n$1,720.00\n', '\n$1,489.00\n', '\n$1,589.00\n', '\n$1,489.00\n', '\n$790.00\n', '\n$1,015.00\n', '\n$809.00\n', '\n$925.00\n', '\n$735.00\n', '\n$1,110.00\n', '\n$689.00\n', '\n$559.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
1,['https://www.stadiumgoods.com/air-jordan-1-high-og-wmns-satin-black-toe-cd0461-016'],['\n                        WMNS Air Jordan 1 High OG                                                “Satin Black Toe”                     '],"['Choose your size (U.S.)', '5W', '5.5W', '6W', '6.5W', '7W', '7.5W', '8W', '8.5W', '9W', '9.5W', '10W', '10.5W', '11W', '11.5W', '12W']","['', '\n$985.00\n', '\n$930.00\n', '\n$915.00\n', '\n$920.00\n', '\n$645.00\n', '\n$605.00\n', '\n$600.00\n', '\n$650.00\n', '\n$699.00\n', '\n$920.00\n', '\n$1,159.00\n', '\n$1,395.00\n', '\n$1,110.00\n', '\n$915.00\n', '\n$679.00\n']"
2,['https://www.stadiumgoods.com/air-jordan-1-retro-high-og-obsidian-university-blue-555088-140'],['\n                        Air Jordan 1 Retro High OG                                                “Obsidian/University Blue”                     '],"['Choose your size (U.S.)', '7*', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15', '16', '17', '4', '4.5', '5', '5.5', '6', '6.5', '18']","['', '\n$650.00\n', '\n$455.00\n', '\n$465.00\n', '\n$460.00\n', '\n$429.00\n', '\n$419.00\n', '\n$305.00\n', '\n$255.00\n', '\n$230.00\n', '\n$219.00\n', '\n$215.00\n', '\n$309.00\n', '\n$200.00\n', '\n$230.00\n', '\n$250.00\n', '\n$349.00\n', '\n$349.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
3,['https://www.stadiumgoods.com/air-jordan-1-retro-high-obsidian-university-blue-og-gs-575441-140'],['\n                        Air Jordan 1 Retro High OG GS                                                “Obsidian/University Blue”                     '],"['Choose your size (U.S.)', '3.5Y', '4Y', '4.5Y', '5Y', '5.5Y', '6Y', '6.5Y', '7Y', '7.5Y', '8Y', '8.5Y', '9Y', '9.5Y', '10Y']","['', '\n$419.00\n', '\n$345.00\n', '\n$369.00\n', '\n$345.00\n', '\n$299.00\n', '\n$250.00\n', '\n$220.00\n', '\n$195.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
4,['https://www.stadiumgoods.com/air-jordan-1-high-og-defiant-yellow-cd6579-071'],['\n                        Air Jordan 1 Retro High OG                                                “Defiant Yellow”                     '],"['Choose your size (U.S.)', '8', '8.5', '9', '9.5', '10', '10.5*', '11', '11.5*', '12', '13*', '14*', '4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '12.5', '15', '16', '17', '18']","['', '\n$299.00\n', '\n$315.00\n', '\n$235.00\n', '\n$255.00\n', '\n$229.00\n', '\n$195.00\n', '\n$219.00\n', '\n$205.00\n', '\n$205.00\n', '\n$205.00\n', '\n$265.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
5,['https://www.stadiumgoods.com/air-jordan-1-retro-high-og-travis-scott-cd4487-100'],['\n                        Air Jordan 1 Hi OG TS SP                                                “Travis Scott”                     '],"['Choose your size (U.S.)', '5.5', '7*', '8*', '8.5*', '9', '9.5', '10*', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15', '4', '4.5', '5', '6', '6.5', '7.5', '16', '17', '18']","['', '\n$2,975.00\n', '\n$2,419.00\n', '\n$2,789.00\n', '\n$2,785.00\n', '\n$3,339.00\n', '\n$2,325.00\n', '\n$2,260.00\n', '\n$1,675.00\n', '\n$1,395.00\n', '\n$1,279.00\n', '\n$1,115.00\n', '\n$1,745.00\n', '\n$975.00\n', '\n$979.00\n', '\n$830.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
6,['https://www.stadiumgoods.com/air-jordan-1-retro-high-og-defiant-couture-bq6682-006'],['\n                        Air Jordan 1 Retro High OG Def                                                “Couture”                     '],"['Choose your size (U.S.)', '7', '7.5', '8', '8.5', '9', '9.5', '10*', '10.5', '11', '11.5', '12', '13', '14', '4', '4.5', '5', '5.5', '6', '6.5', '12.5', '15', '16', '17', '18']","['', '\n$259.00\n', '\n$279.00\n', '\n$240.00\n', '\n$209.00\n', '\n$205.00\n', '\n$195.00\n', '\n$175.00\n', '\n$170.00\n', '\n$149.00\n', '\n$165.00\n', '\n$175.00\n', '\n$175.00\n', '\n$175.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
7,['https://www.stadiumgoods.com/air-jordan-1-retro-high-og-la-to-chicago-court-purple-cd6578-507'],['\nAir Jordan 1 Retro High OG “LA to Chicago” '],"['Choose your size (U.S.)', '5.5', '7.5', '8', '8.5', '9*', '9.5', '10', '10.5*', '11', '11.5', '12', '13', '14', '15', '4', '4.5', '5', '6', '6.5', '7', '12.5', '16', '17', '18']","['', '\n$930.00\n', '\n$1,089.00\n', '\n$1,095.00\n', '\n$1,209.00\n', '\n$865.00\n', '\n$895.00\n', '\n$829.00\n', '\n$499.00\n', '\n$455.00\n', '\n$349.00\n', '\n$509.00\n', '\n$309.00\n', '\n$279.00\n', '\n$600.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
8,['https://www.stadiumgoods.com/air-jordan-1-mid-gs-554725-058-black-starfish-starfish-white'],['\nAir Jordan 1 Mid GS “Shattered Backboard” '],"['Choose your size (U.S.)', '4Y', '4.5Y', '5Y', '5.5Y', '6Y', '6.5Y', '7Y', '3.5Y', '7.5Y', '8Y', '8.5Y', '9Y', '9.5Y', '10Y']","['', '\n$175.00\n', '\n$175.00\n', '\n$170.00\n', '\n$135.00\n', '\n$110.00\n', '\n$110.00\n', '\n$120.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
9,['https://www.stadiumgoods.com/air-jordan-1-low-black-toe-553558-116'],['\nAir Jordan 1 Low “Black Toe” '],"['Choose your size (U.S.)', '5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5*', '13', '4', '4.5', '5.5', '6', '6.5', '14', '15', '16', '17', '18']","['', '\n$645.00\n', '\n$215.00\n', '\n$169.00\n', '\n$165.00\n', '\n$149.00\n', '\n$140.00\n', '\n$135.00\n', '\n$129.00\n', '\n$115.00\n', '\n$100.00\n', '\n$120.00\n', '\n$90.00\n', '\n$115.00\n', '\n$140.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
